[1, 25, 13, 221, 219, 47.648922, 0.9933832]
[1, 25, 14, 38, 40, 47.67378, 0.9933832]
[1, 26, 9, 2, 0, 47.698784, 0.9933832]
[1, 26, 10, 119, 121, 47.723934, 0.9933832]
[1, 26, 11, 252, 254, 47.749226, 0.9933832]
[1, 26, 12, 206, 207, 47.764473, 0.9933832]
[1, 26, 13, 17, 18, 47.779774, 0.9933832]
[1, 26, 14, 3, 0, 47.81569, 0.9933832]
[1, 26, 15, 0, 0, 47.820843, 0.9933832]
[1, 27, 12, 3, 0, 47.795128, 0.9933832]
[2, 7, 5, 3, 0, 47.83117, 0.9933832]
[2, 7, 6, 84, 84, 47.83634, 0.9933832]
[2, 7, 7, 185, 185, 47.841522, 0.9933832]
[2, 7, 12, 2, 0, 47.867516, 0.9933834]
[2, 7, 13, 2, 0, 47.89366, 0.99338347]
[2, 7, 16, 2, 0, 47.919964, 0.99338347]
[2, 7, 18, 1, 0, 47.91469, 0.99338347]
[2, 7, 21, 5, 0, 47.97306, 0.99338347]
[2, 8, 7, 252, 254, 47.999847, 0.99338347]
[2, 8, 8, 253, 254, 48.016006, 0.99338347]
[2, 8, 9, 253, 254, 48.03222, 0.99338347]
[2, 8, 10, 253, 254, 48.048496, 0.99338335]
[2, 8, 13, 196, 198, 48.075756, 0.99338275]
[2, 8, 15, 198, 198, 48.08123, 0.99338233]
[2, 8, 21, 52, 52, 48.08671, 0.99338233]
[2, 9, 5, 1, 0, 48.10319, 0.99338233]
[2, 9, 10, 163, 163, 48.1087, 0.9933827]
[2, 9, 11, 227, 227, 48.11422, 0.99338096]
[2, 9, 13, 225, 225, 48.11974, 0.99338824]
[2, 9, 14, 252, 254, 48.147453, 0.9933824]
[2, 9, 16, 253, 254, 48.16417, 0.99338084]
[2, 9, 17, 249, 250, 48.180946, 0.9933804]
[2, 9, 19, 250, 254, 48.231674, 0.9933804]
[2, 9, 20, 254, 254, 48.237347, 0.9933804]
[2, 10, 5, 0, 0, 48.24303, 0.9933804]
